Kod;Rodzaje towarów;Rok;Wartosc;Jednostka miary
0;chleb pszenno-żytni - za 0,5kg;1999;;zł
0;chleb pszenno-żytni - za 0,5kg;2000;;zł
0;chleb pszenno-żytni - za 0,5kg;2001;1,45;zł
0;chleb pszenno-żytni - za 0,5kg;2002;1,34;zł
0;chleb pszenno-żytni - za 0,5kg;2003;1,32;zł
0;chleb pszenno-żytni - za 0,5kg;2004;1,38;zł
0;chleb pszenno-żytni - za 0,5kg;2005;1,35;zł
0;chleb pszenno-żytni - za 0,5kg;2006;1,36;zł
0;chleb pszenno-żytni - za 0,5kg;2007;1,58;zł
0;chleb pszenno-żytni - za 0,5kg;2008;1,81;zł
0;chleb pszenno-żytni - za 0,5kg;2009;1,88;zł
0;chleb pszenno-żytni - za 0,5kg;2010;1,93;zł
0;chleb pszenno-żytni - za 0,5kg;2011;2,21;zł
0;chleb pszenno-żytni - za 0,5kg;2012;2,25;zł
0;chleb pszenno-żytni - za 0,5kg;2013;2,24;zł
0;chleb pszenno-żytni - za 0,5kg;2014;2,2;zł
0;chleb pszenno-żytni - za 0,5kg;2015;2,2;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;1999;9,19;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2000;12,61;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2001;14,01;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2002;13,37;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2003;11,76;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2004;13,16;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2005;12,86;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2006;12,04;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2007;11,83;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2008;12,44;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2009;13,48;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2010;12,46;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2011;12,95;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2012;14,08;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2013;14,06;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2014;13,38;zł
0;mięso wieprzowe bez kości (łopatka) - za 1kg;2015;12,08;zł
0;kiełbasa sucha - za 1kg;1999;19,67;zł
0;kiełbasa sucha - za 1kg;2000;21,46;zł
0;kiełbasa sucha - za 1kg;2001;23,08;zł
0;kiełbasa sucha - za 1kg;2002;23,19;zł
0;kiełbasa sucha - za 1kg;2003;22,27;zł
0;kiełbasa sucha - za 1kg;2004;23,31;zł
0;kiełbasa sucha - za 1kg;2005;24,32;zł
0;kiełbasa sucha - za 1kg;2006;24,34;zł
0;kiełbasa sucha - za 1kg;2007;24,68;zł
0;kiełbasa sucha - za 1kg;2008;26,06;zł
0;kiełbasa sucha - za 1kg;2009;27,24;zł
0;kiełbasa sucha - za 1kg;2010;27,34;zł
0;kiełbasa sucha - za 1kg;2011;27,64;zł
0;kiełbasa sucha - za 1kg;2012;29,35;zł
0;kiełbasa sucha - za 1kg;2013;30,06;zł
0;kiełbasa sucha - za 1kg;2014;29,96;zł
0;kiełbasa sucha - za 1kg;2015;29,34;zł
0;ser twarogowy półtłusty - za 1kg;1999;7,39;zł
0;ser twarogowy półtłusty - za 1kg;2000;8,29;zł
0;ser twarogowy półtłusty - za 1kg;2001;8,7;zł
0;ser twarogowy półtłusty - za 1kg;2002;8,78;zł
0;ser twarogowy półtłusty - za 1kg;2003;8,76;zł
0;ser twarogowy półtłusty - za 1kg;2004;9,03;zł
0;ser twarogowy półtłusty - za 1kg;2005;9,41;zł
0;ser twarogowy półtłusty - za 1kg;2006;9,49;zł
0;ser twarogowy półtłusty - za 1kg;2007;10,29;zł
0;ser twarogowy półtłusty - za 1kg;2008;11,78;zł
0;ser twarogowy półtłusty - za 1kg;2009;11,82;zł
0;ser twarogowy półtłusty - za 1kg;2010;12,05;zł
0;ser twarogowy półtłusty - za 1kg;2011;12,49;zł
0;ser twarogowy półtłusty - za 1kg;2012;12,76;zł
0;ser twarogowy półtłusty - za 1kg;2013;12,98;zł
0;ser twarogowy półtłusty - za 1kg;2014;13,46;zł
0;ser twarogowy półtłusty - za 1kg;2015;13,25;zł
0;jaja kurze świeże - za 1szt.;1999;0,27;zł
0;jaja kurze świeże - za 1szt.;2000;0,33;zł
0;jaja kurze świeże - za 1szt.;2001;0,34;zł
0;jaja kurze świeże - za 1szt.;2002;0,3;zł
0;jaja kurze świeże - za 1szt.;2003;0,33;zł
0;jaja kurze świeże - za 1szt.;2004;0,37;zł
0;jaja kurze świeże - za 1szt.;2005;0,34;zł
0;jaja kurze świeże - za 1szt.;2006;0,35;zł
0;jaja kurze świeże - za 1szt.;2007;0,36;zł
0;jaja kurze świeże - za 1szt.;2008;0,4;zł
0;jaja kurze świeże - za 1szt.;2009;0,43;zł
0;jaja kurze świeże - za 1szt.;2010;0,46;zł
0;jaja kurze świeże - za 1szt.;2011;0,45;zł
0;jaja kurze świeże - za 1szt.;2012;0,6;zł
0;jaja kurze świeże - za 1szt.;2013;0,56;zł
0;jaja kurze świeże - za 1szt.;2014;0,52;zł
0;jaja kurze świeże - za 1szt.;2015;0,51;zł
0;czekolada mleczna - za 100g;1999;2,19;zł
0;czekolada mleczna - za 100g;2000;2,32;zł
0;czekolada mleczna - za 100g;2001;2,41;zł
0;czekolada mleczna - za 100g;2002;2,54;zł
0;czekolada mleczna - za 100g;2003;2,63;zł
0;czekolada mleczna - za 100g;2004;2,87;zł
0;czekolada mleczna - za 100g;2005;3,09;zł
0;czekolada mleczna - za 100g;2006;3,13;zł
0;czekolada mleczna - za 100g;2007;3,15;zł
0;czekolada mleczna - za 100g;2008;3,19;zł
0;czekolada mleczna - za 100g;2009;3,25;zł
0;czekolada mleczna - za 100g;2010;3,3;zł
0;czekolada mleczna - za 100g;2011;3,38;zł
0;czekolada mleczna - za 100g;2012;3,52;zł
0;czekolada mleczna - za 100g;2013;3,5;zł
0;czekolada mleczna - za 100g;2014;3,55;zł
0;czekolada mleczna - za 100g;2015;3,69;zł
0;kawa naturalna mielona - za 250g;1999;6,95;zł
0;kawa naturalna mielona - za 250g;2000;6,72;zł
0;kawa naturalna mielona - za 250g;2001;5,79;zł
0;kawa naturalna mielona - za 250g;2002;4,75;zł
0;kawa naturalna mielona - za 250g;2003;4,55;zł
0;kawa naturalna mielona - za 250g;2004;4,53;zł
0;kawa naturalna mielona - za 250g;2005;4,57;zł
0;kawa naturalna mielona - za 250g;2006;4,72;zł
0;kawa naturalna mielona - za 250g;2007;5,29;zł
0;kawa naturalna mielona - za 250g;2008;5,83;zł
0;kawa naturalna mielona - za 250g;2009;5,95;zł
0;kawa naturalna mielona - za 250g;2010;6,03;zł
0;kawa naturalna mielona - za 250g;2011;6,76;zł
0;kawa naturalna mielona - za 250g;2012;7,46;zł
0;kawa naturalna mielona - za 250g;2013;6,82;zł
0;kawa naturalna mielona - za 250g;2014;6,69;zł
0;kawa naturalna mielona - za 250g;2015;6,81;zł
0;herbata czarna, liściasta - za 100g;1999;1,92;zł
0;herbata czarna, liściasta - za 100g;2000;2,04;zł
0;herbata czarna, liściasta - za 100g;2001;2,14;zł
0;herbata czarna, liściasta - za 100g;2002;2,14;zł
0;herbata czarna, liściasta - za 100g;2003;2,13;zł
0;herbata czarna, liściasta - za 100g;2004;2,18;zł
0;herbata czarna, liściasta - za 100g;2005;2,25;zł
0;herbata czarna, liściasta - za 100g;2006;2,24;zł
0;herbata czarna, liściasta - za 100g;2007;2,36;zł
0;herbata czarna, liściasta - za 100g;2008;2,72;zł
0;herbata czarna, liściasta - za 100g;2009;3,03;zł
0;herbata czarna, liściasta - za 100g;2010;3,31;zł
0;herbata czarna, liściasta - za 100g;2011;3,43;zł
0;herbata czarna, liściasta - za 100g;2012;3,61;zł
0;herbata czarna, liściasta - za 100g;2013;3,77;zł
0;herbata czarna, liściasta - za 100g;2014;3,9;zł
0;herbata czarna, liściasta - za 100g;2015;3,93;zł
0;sok jabłkowy - za 1l;1999;2,91;zł
0;sok jabłkowy - za 1l;2000;3,33;zł
0;sok jabłkowy - za 1l;2001;3,32;zł
0;sok jabłkowy - za 1l;2002;3,11;zł
0;sok jabłkowy - za 1l;2003;2,95;zł
0;sok jabłkowy - za 1l;2004;2,88;zł
0;sok jabłkowy - za 1l;2005;2,84;zł
0;sok jabłkowy - za 1l;2006;2,87;zł
0;sok jabłkowy - za 1l;2007;3;zł
0;sok jabłkowy - za 1l;2008;3,43;zł
0;sok jabłkowy - za 1l;2009;3,64;zł
0;sok jabłkowy - za 1l;2010;3,62;zł
0;sok jabłkowy - za 1l;2011;3,74;zł
0;sok jabłkowy - za 1l;2012;3,82;zł
0;sok jabłkowy - za 1l;2013;3,8;zł
0;sok jabłkowy - za 1l;2014;3,79;zł
0;sok jabłkowy - za 1l;2015;3,69;zł
1100000000;chleb pszenno-żytni - za 0,5kg;1999;;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2000;;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2001;1,43;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2002;1,22;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2003;1,19;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2004;1,28;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2005;1,25;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2006;1,3;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2007;1,56;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2008;1,83;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2009;1,88;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2010;1,99;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2011;2,28;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2012;2,26;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2013;2,32;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2014;2,25;zł
1100000000;chleb pszenno-żytni - za 0,5kg;2015;2,22;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;1999;8,86;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2000;11,36;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2001;12,98;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2002;12,55;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2003;11,15;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2004;12,26;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2005;12,69;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2006;12,02;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2007;12;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2008;12,44;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2009;13,43;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2010;12,74;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2011;13,15;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2012;14,35;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2013;14,57;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2014;14,11;zł
1100000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2015;12,37;zł
1100000000;kiełbasa sucha - za 1kg;1999;19,13;zł
1100000000;kiełbasa sucha - za 1kg;2000;20,36;zł
1100000000;kiełbasa sucha - za 1kg;2001;21,66;zł
1100000000;kiełbasa sucha - za 1kg;2002;21,36;zł
1100000000;kiełbasa sucha - za 1kg;2003;21;zł
1100000000;kiełbasa sucha - za 1kg;2004;23,46;zł
1100000000;kiełbasa sucha - za 1kg;2005;24,79;zł
1100000000;kiełbasa sucha - za 1kg;2006;25,81;zł
1100000000;kiełbasa sucha - za 1kg;2007;27;zł
1100000000;kiełbasa sucha - za 1kg;2008;27,43;zł
1100000000;kiełbasa sucha - za 1kg;2009;28,82;zł
1100000000;kiełbasa sucha - za 1kg;2010;27,71;zł
1100000000;kiełbasa sucha - za 1kg;2011;28,11;zł
1100000000;kiełbasa sucha - za 1kg;2012;30,76;zł
1100000000;kiełbasa sucha - za 1kg;2013;31,17;zł
1100000000;kiełbasa sucha - za 1kg;2014;30,08;zł
1100000000;kiełbasa sucha - za 1kg;2015;29,43;zł
1100000000;ser twarogowy półtłusty - za 1kg;1999;7,09;zł
1100000000;ser twarogowy półtłusty - za 1kg;2000;8,08;zł
1100000000;ser twarogowy półtłusty - za 1kg;2001;8,55;zł
1100000000;ser twarogowy półtłusty - za 1kg;2002;8,48;zł
1100000000;ser twarogowy półtłusty - za 1kg;2003;8,53;zł
1100000000;ser twarogowy półtłusty - za 1kg;2004;8,88;zł
1100000000;ser twarogowy półtłusty - za 1kg;2005;9,48;zł
1100000000;ser twarogowy półtłusty - za 1kg;2006;9,29;zł
1100000000;ser twarogowy półtłusty - za 1kg;2007;10,34;zł
1100000000;ser twarogowy półtłusty - za 1kg;2008;11,84;zł
1100000000;ser twarogowy półtłusty - za 1kg;2009;11,87;zł
1100000000;ser twarogowy półtłusty - za 1kg;2010;12,06;zł
1100000000;ser twarogowy półtłusty - za 1kg;2011;12,32;zł
1100000000;ser twarogowy półtłusty - za 1kg;2012;12,52;zł
1100000000;ser twarogowy półtłusty - za 1kg;2013;13,03;zł
1100000000;ser twarogowy półtłusty - za 1kg;2014;13,61;zł
1100000000;ser twarogowy półtłusty - za 1kg;2015;13,25;zł
1100000000;jaja kurze świeże - za 1szt.;1999;0,27;zł
1100000000;jaja kurze świeże - za 1szt.;2000;0,33;zł
1100000000;jaja kurze świeże - za 1szt.;2001;0,34;zł
1100000000;jaja kurze świeże - za 1szt.;2002;0,3;zł
1100000000;jaja kurze świeże - za 1szt.;2003;0,34;zł
1100000000;jaja kurze świeże - za 1szt.;2004;0,37;zł
1100000000;jaja kurze świeże - za 1szt.;2005;0,34;zł
1100000000;jaja kurze świeże - za 1szt.;2006;0,36;zł
1100000000;jaja kurze świeże - za 1szt.;2007;0,37;zł
1100000000;jaja kurze świeże - za 1szt.;2008;0,39;zł
1100000000;jaja kurze świeże - za 1szt.;2009;0,43;zł
1100000000;jaja kurze świeże - za 1szt.;2010;0,46;zł
1100000000;jaja kurze świeże - za 1szt.;2011;0,47;zł
1100000000;jaja kurze świeże - za 1szt.;2012;0,6;zł
1100000000;jaja kurze świeże - za 1szt.;2013;0,55;zł
1100000000;jaja kurze świeże - za 1szt.;2014;0,51;zł
1100000000;jaja kurze świeże - za 1szt.;2015;0,52;zł
1100000000;czekolada mleczna - za 100g;1999;2,12;zł
1100000000;czekolada mleczna - za 100g;2000;2,28;zł
1100000000;czekolada mleczna - za 100g;2001;2,38;zł
1100000000;czekolada mleczna - za 100g;2002;2,51;zł
1100000000;czekolada mleczna - za 100g;2003;2,62;zł
1100000000;czekolada mleczna - za 100g;2004;2,87;zł
1100000000;czekolada mleczna - za 100g;2005;3,12;zł
1100000000;czekolada mleczna - za 100g;2006;3,17;zł
1100000000;czekolada mleczna - za 100g;2007;3,08;zł
1100000000;czekolada mleczna - za 100g;2008;3,14;zł
1100000000;czekolada mleczna - za 100g;2009;3,24;zł
1100000000;czekolada mleczna - za 100g;2010;3,33;zł
1100000000;czekolada mleczna - za 100g;2011;3,32;zł
1100000000;czekolada mleczna - za 100g;2012;3,47;zł
1100000000;czekolada mleczna - za 100g;2013;3,54;zł
1100000000;czekolada mleczna - za 100g;2014;3,44;zł
1100000000;czekolada mleczna - za 100g;2015;3,57;zł
1100000000;kawa naturalna mielona - za 250g;1999;6,89;zł
1100000000;kawa naturalna mielona - za 250g;2000;6,67;zł
1100000000;kawa naturalna mielona - za 250g;2001;5,58;zł
1100000000;kawa naturalna mielona - za 250g;2002;4,53;zł
1100000000;kawa naturalna mielona - za 250g;2003;4,53;zł
1100000000;kawa naturalna mielona - za 250g;2004;4,41;zł
1100000000;kawa naturalna mielona - za 250g;2005;4,38;zł
1100000000;kawa naturalna mielona - za 250g;2006;4,57;zł
1100000000;kawa naturalna mielona - za 250g;2007;5,35;zł
1100000000;kawa naturalna mielona - za 250g;2008;5,66;zł
1100000000;kawa naturalna mielona - za 250g;2009;5,75;zł
1100000000;kawa naturalna mielona - za 250g;2010;5,89;zł
1100000000;kawa naturalna mielona - za 250g;2011;6,71;zł
1100000000;kawa naturalna mielona - za 250g;2012;7,6;zł
1100000000;kawa naturalna mielona - za 250g;2013;6,67;zł
1100000000;kawa naturalna mielona - za 250g;2014;6,65;zł
1100000000;kawa naturalna mielona - za 250g;2015;6,62;zł
1100000000;herbata czarna, liściasta - za 100g;1999;1,89;zł
1100000000;herbata czarna, liściasta - za 100g;2000;1,99;zł
1100000000;herbata czarna, liściasta - za 100g;2001;2,13;zł
1100000000;herbata czarna, liściasta - za 100g;2002;2,08;zł
1100000000;herbata czarna, liściasta - za 100g;2003;2;zł
1100000000;herbata czarna, liściasta - za 100g;2004;2,06;zł
1100000000;herbata czarna, liściasta - za 100g;2005;2,25;zł
1100000000;herbata czarna, liściasta - za 100g;2006;2,3;zł
1100000000;herbata czarna, liściasta - za 100g;2007;2,42;zł
1100000000;herbata czarna, liściasta - za 100g;2008;2,7;zł
1100000000;herbata czarna, liściasta - za 100g;2009;3,02;zł
1100000000;herbata czarna, liściasta - za 100g;2010;3,08;zł
1100000000;herbata czarna, liściasta - za 100g;2011;3,55;zł
1100000000;herbata czarna, liściasta - za 100g;2012;3,73;zł
1100000000;herbata czarna, liściasta - za 100g;2013;4,03;zł
1100000000;herbata czarna, liściasta - za 100g;2014;4,19;zł
1100000000;herbata czarna, liściasta - za 100g;2015;4,3;zł
1100000000;sok jabłkowy - za 1l;1999;2,81;zł
1100000000;sok jabłkowy - za 1l;2000;3,24;zł
1100000000;sok jabłkowy - za 1l;2001;3,21;zł
1100000000;sok jabłkowy - za 1l;2002;3,11;zł
1100000000;sok jabłkowy - za 1l;2003;2,92;zł
1100000000;sok jabłkowy - za 1l;2004;2,82;zł
1100000000;sok jabłkowy - za 1l;2005;2,84;zł
1100000000;sok jabłkowy - za 1l;2006;2,89;zł
1100000000;sok jabłkowy - za 1l;2007;2,97;zł
1100000000;sok jabłkowy - za 1l;2008;3,45;zł
1100000000;sok jabłkowy - za 1l;2009;3,69;zł
1100000000;sok jabłkowy - za 1l;2010;3,57;zł
1100000000;sok jabłkowy - za 1l;2011;3,65;zł
1100000000;sok jabłkowy - za 1l;2012;3,84;zł
1100000000;sok jabłkowy - za 1l;2013;3,89;zł
1100000000;sok jabłkowy - za 1l;2014;3,98;zł
1100000000;sok jabłkowy - za 1l;2015;3,83;zł
1140000000;chleb pszenno-żytni - za 0,5kg;1999;;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2000;;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2001;1,39;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2002;1,32;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2003;1,36;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2004;1,43;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2005;1,37;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2006;1,41;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2007;1,56;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2008;1,76;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2009;1,83;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2010;1,81;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2011;2,08;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2012;2,15;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2013;2,14;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2014;2,11;zł
1140000000;chleb pszenno-żytni - za 0,5kg;2015;2,07;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;1999;9,01;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2000;12,16;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2001;13,53;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2002;12,98;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2003;11,62;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2004;12,8;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2005;12,69;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2006;11,89;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2007;11,6;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2008;12,18;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2009;13,28;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2010;12,24;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2011;12,62;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2012;13,61;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2013;13,67;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2014;13,17;zł
1140000000;mięso wieprzowe bez kości (łopatka) - za 1kg;2015;11,86;zł
1140000000;kiełbasa sucha - za 1kg;1999;20,85;zł
1140000000;kiełbasa sucha - za 1kg;2000;22,9;zł
1140000000;kiełbasa sucha - za 1kg;2001;24,99;zł
1140000000;kiełbasa sucha - za 1kg;2002;25,34;zł
1140000000;kiełbasa sucha - za 1kg;2003;24,45;zł
1140000000;kiełbasa sucha - za 1kg;2004;26,37;zł
1140000000;kiełbasa sucha - za 1kg;2005;27,07;zł
1140000000;kiełbasa sucha - za 1kg;2006;27,55;zł
1140000000;kiełbasa sucha - za 1kg;2007;27,91;zł
1140000000;kiełbasa sucha - za 1kg;2008;29,88;zł
1140000000;kiełbasa sucha - za 1kg;2009;30,61;zł
1140000000;kiełbasa sucha - za 1kg;2010;29,49;zł
1140000000;kiełbasa sucha - za 1kg;2011;29,6;zł
1140000000;kiełbasa sucha - za 1kg;2012;31,11;zł
1140000000;kiełbasa sucha - za 1kg;2013;30,96;zł
1140000000;kiełbasa sucha - za 1kg;2014;30,36;zł
1140000000;kiełbasa sucha - za 1kg;2015;30,16;zł
1140000000;ser twarogowy półtłusty - za 1kg;1999;7,44;zł
1140000000;ser twarogowy półtłusty - za 1kg;2000;8,45;zł
1140000000;ser twarogowy półtłusty - za 1kg;2001;8,97;zł
1140000000;ser twarogowy półtłusty - za 1kg;2002;9,2;zł
1140000000;ser twarogowy półtłusty - za 1kg;2003;9,34;zł
1140000000;ser twarogowy półtłusty - za 1kg;2004;9,6;zł
1140000000;ser twarogowy półtłusty - za 1kg;2005;9,8;zł
1140000000;ser twarogowy półtłusty - za 1kg;2006;10,03;zł
1140000000;ser twarogowy półtłusty - za 1kg;2007;10,68;zł
1140000000;ser twarogowy półtłusty - za 1kg;2008;12,14;zł
1140000000;ser twarogowy półtłusty - za 1kg;2009;12,1;zł
1140000000;ser twarogowy półtłusty - za 1kg;2010;12,23;zł
1140000000;ser twarogowy półtłusty - za 1kg;2011;12,96;zł
1140000000;ser twarogowy półtłusty - za 1kg;2012;13,64;zł
1140000000;ser twarogowy półtłusty - za 1kg;2013;14,01;zł
1140000000;ser twarogowy półtłusty - za 1kg;2014;14,67;zł
1140000000;ser twarogowy półtłusty - za 1kg;2015;14,8;zł
1140000000;jaja kurze świeże - za 1szt.;1999;0,28;zł
1140000000;jaja kurze świeże - za 1szt.;2000;0,34;zł
1140000000;jaja kurze świeże - za 1szt.;2001;0,35;zł
1140000000;jaja kurze świeże - za 1szt.;2002;0,32;zł
1140000000;jaja kurze świeże - za 1szt.;2003;0,33;zł
1140000000;jaja kurze świeże - za 1szt.;2004;0,39;zł
1140000000;jaja kurze świeże - za 1szt.;2005;0,36;zł
1140000000;jaja kurze świeże - za 1szt.;2006;0,37;zł
1140000000;jaja kurze świeże - za 1szt.;2007;0,39;zł
1140000000;jaja kurze świeże - za 1szt.;2008;0,42;zł
1140000000;jaja kurze świeże - za 1szt.;2009;0,47;zł
1140000000;jaja kurze świeże - za 1szt.;2010;0,5;zł
1140000000;jaja kurze świeże - za 1szt.;2011;0,49;zł
1140000000;jaja kurze świeże - za 1szt.;2012;0,65;zł
1140000000;jaja kurze świeże - za 1szt.;2013;0,6;zł
1140000000;jaja kurze świeże - za 1szt.;2014;0,56;zł
1140000000;jaja kurze świeże - za 1szt.;2015;0,54;zł
1140000000;czekolada mleczna - za 100g;1999;2,21;zł
1140000000;czekolada mleczna - za 100g;2000;2,38;zł
1140000000;czekolada mleczna - za 100g;2001;2,47;zł
1140000000;czekolada mleczna - za 100g;2002;2,57;zł
1140000000;czekolada mleczna - za 100g;2003;2,71;zł
1140000000;czekolada mleczna - za 100g;2004;2,9;zł
1140000000;czekolada mleczna - za 100g;2005;3,1;zł
1140000000;czekolada mleczna - za 100g;2006;3,2;zł
1140000000;czekolada mleczna - za 100g;2007;3,22;zł
1140000000;czekolada mleczna - za 100g;2008;3,24;zł
1140000000;czekolada mleczna - za 100g;2009;3,27;zł
1140000000;czekolada mleczna - za 100g;2010;3,39;zł
1140000000;czekolada mleczna - za 100g;2011;3,46;zł
1140000000;czekolada mleczna - za 100g;2012;3,58;zł
1140000000;czekolada mleczna - za 100g;2013;3,51;zł
1140000000;czekolada mleczna - za 100g;2014;3,67;zł
1140000000;czekolada mleczna - za 100g;2015;3,8;zł
1140000000;kawa naturalna mielona - za 250g;1999;7,22;zł
1140000000;kawa naturalna mielona - za 250g;2000;6,95;zł
1140000000;kawa naturalna mielona - za 250g;2001;5,99;zł
1140000000;kawa naturalna mielona - za 250g;2002;4,93;zł
1140000000;kawa naturalna mielona - za 250g;2003;4,67;zł
1140000000;kawa naturalna mielona - za 250g;2004;4,67;zł
1140000000;kawa naturalna mielona - za 250g;2005;4,69;zł
1140000000;kawa naturalna mielona - za 250g;2006;4,79;zł
1140000000;kawa naturalna mielona - za 250g;2007;5,46;zł
1140000000;kawa naturalna mielona - za 250g;2008;5,9;zł
1140000000;kawa naturalna mielona - za 250g;2009;6,12;zł
1140000000;kawa naturalna mielona - za 250g;2010;6,37;zł
1140000000;kawa naturalna mielona - za 250g;2011;6,86;zł
1140000000;kawa naturalna mielona - za 250g;2012;7,63;zł
1140000000;kawa naturalna mielona - za 250g;2013;7,18;zł
1140000000;kawa naturalna mielona - za 250g;2014;6,84;zł
1140000000;kawa naturalna mielona - za 250g;2015;6,98;zł
1140000000;herbata czarna, liściasta - za 100g;1999;1,96;zł
1140000000;herbata czarna, liściasta - za 100g;2000;2,1;zł
1140000000;herbata czarna, liściasta - za 100g;2001;2,2;zł
1140000000;herbata czarna, liściasta - za 100g;2002;2,22;zł
1140000000;herbata czarna, liściasta - za 100g;2003;2,26;zł
1140000000;herbata czarna, liściasta - za 100g;2004;2,28;zł
