Kod;Typy szkół;Rok;Wartosc;Jednostka miary
0;gimnazja ogółem;2010;22;-
0;gimnazja ogółem;2011;22;-
0;gimnazja ogółem;2012;22;-
0;gimnazja ogółem;2013;21;-
0;gimnazja ogółem;2014;21;-
0;gimnazja ogółem;2015;21;-
0;gimnazja dla dzieci i młodzieży ogółem;2010;22;-
0;gimnazja dla dzieci i młodzieży ogółem;2011;22;-
0;gimnazja dla dzieci i młodzieży ogółem;2012;22;-
0;gimnazja dla dzieci i młodzieży ogółem;2013;21;-
0;gimnazja dla dzieci i młodzieży ogółem;2014;21;-
0;gimnazja dla dzieci i młodzieży ogółem;2015;21;-
0;gimnazja dla dzieci i młodzieży bez specjalnych;2010;23;-
0;gimnazja dla dzieci i młodzieży bez specjalnych;2011;22;-
0;gimnazja dla dzieci i młodzieży bez specjalnych;2012;22;-
0;gimnazja dla dzieci i młodzieży bez specjalnych;2013;22;-
0;gimnazja dla dzieci i młodzieży bez specjalnych;2014;22;-
0;gimnazja dla dzieci i młodzieży bez specjalnych;2015;22;-
0;gimnazja dla dzieci i młodzieży specjalne;2010;9;-
0;gimnazja dla dzieci i młodzieży specjalne;2011;9;-
0;gimnazja dla dzieci i młodzieży specjalne;2012;8;-
0;gimnazja dla dzieci i młodzieży specjalne;2013;8;-
0;gimnazja dla dzieci i młodzieży specjalne;2014;8;-
0;gimnazja dla dzieci i młodzieży specjalne;2015;8;-
0;gimnazja dla dorosłych;2010;24;-
0;gimnazja dla dorosłych;2011;22;-
0;gimnazja dla dorosłych;2012;21;-
0;gimnazja dla dorosłych;2013;20;-
0;gimnazja dla dorosłych;2014;19;-
0;gimnazja dla dorosłych;2015;18;-
1100000000;gimnazja ogółem;2010;22;-
1100000000;gimnazja ogółem;2011;22;-
1100000000;gimnazja ogółem;2012;22;-
1100000000;gimnazja ogółem;2013;21;-
1100000000;gimnazja ogółem;2014;21;-
1100000000;gimnazja ogółem;2015;21;-
1100000000;gimnazja dla dzieci i młodzieży ogółem;2010;22;-
1100000000;gimnazja dla dzieci i młodzieży ogółem;2011;22;-
1100000000;gimnazja dla dzieci i młodzieży ogółem;2012;22;-
1100000000;gimnazja dla dzieci i młodzieży ogółem;2013;22;-
1100000000;gimnazja dla dzieci i młodzieży ogółem;2014;21;-
1100000000;gimnazja dla dzieci i młodzieży ogółem;2015;21;-
1100000000;gimnazja dla dzieci i młodzieży bez specjalnych;2010;23;-
1100000000;gimnazja dla dzieci i młodzieży bez specjalnych;2011;23;-
1100000000;gimnazja dla dzieci i młodzieży bez specjalnych;2012;23;-
